school_id,region,division,n_test_takers,filipino_mps,math_mps,english_mps,science_mps,araling_panlipunan_mps,overall_mps
400031,Region I,Candon City,10,54.44444444444444,53.46153846153846,68.14814814814814,47.03703703703704,48.888888888888886,54.40298507462687
100448,Region I,Candon City,6,53.086419753086425,30.128205128205124,43.827160493827165,32.098765432098766,33.95061728395061,38.681592039801
100449,Region I,Candon City,8,54.166666666666664,25.48076923076923,48.148148148148145,43.51851851851852,71.29629629629629,48.69402985074627
100450,Region I,Candon City,6,51.851851851851855,26.923076923076923,39.50617283950617,28.395061728395063,31.48148148148148,35.69651741293533
100451,Region I,Candon City,6,58.02469135802468,32.69230769230769,58.64197530864198,30.24691358024691,50.61728395061728,46.14427860696518
100452,Region I,Candon City,4,53.7037037037037,27.884615384615383,40.74074074074074,29.62962962962963,38.888888888888886,38.24626865671642
102154,Region I,Dagupan City,8,67.5925925925926,44.23076923076923,62.03703703703704,48.611111111111114,60.18518518518518,56.62313432835821
102162,Region I,Dagupan City,6,82.71604938271604,80.76923076923077,87.65432098765433,67.90123456790123,74.69135802469135,78.73134328358209
102163,Region I,Dagupan City,22,76.43097643097643,81.64335664335664,77.44107744107744,73.9057239057239,73.4006734006734,76.52645861601086
102165,Region I,Dagupan City,36,70.5761316872428,70.2991452991453,81.48148148148148,58.43621399176955,68.93004115226337,69.9419568822554
102174,Region I,Dagupan City,6,58.64197530864198,42.94871794871794,58.02469135802468,38.888888888888886,44.44444444444444,48.6318407960199
102175,Region I,Dagupan City,22,77.94612794612794,81.11888111888112,85.85858585858587,80.13468013468012,78.61952861952861,80.7327001356852
102155,Region I,Dagupan City,12,65.4320987654321,89.42307692307692,69.44444444444444,67.5925925925926,84.56790123456788,75.18656716417911
412508,Region I,Dagupan City,2,40.74074074074074,38.46153846153846,44.44444444444444,38.888888888888886,35.18518518518518,39.55223880597015
412512,Region I,Dagupan City,16,39.81481481481482,42.06730769230769,54.398148148148145,39.583333333333336,30.324074074074073,41.23134328358209
400255,Region I,Dagupan City,2,50.0,48.07692307692308,68.51851851851852,46.2962962962963,53.7037037037037,53.35820895522388
400256,Region I,Dagupan City,2,35.18518518518518,36.53846153846154,24.074074074074073,40.74074074074074,27.77777777777778,32.83582089552239
500053,Region I,Dagupan City,36,84.15637860082305,65.7051282051282,58.539094650205755,69.95884773662551,66.9753086419753,69.09203980099501
400258,Region I,Dagupan City,8,43.51851851851852,37.5,57.407407407407405,43.05555555555556,28.24074074074074,41.97761194029851
400259,Region I,Dagupan City,8,51.851851851851855,61.53846153846154,68.98148148148148,54.166666666666664,50.0,57.276119402985074
500054,Region I,Dagupan City,38,65.10721247563353,53.44129554655871,70.9551656920078,50.0,57.212475633528264,59.3872741555381
102168,Region I,Dagupan City,20,87.03703703703704,83.26923076923077,74.25925925925925,81.11111111111111,82.96296296296296,81.71641791044776
412502,Region I,Dagupan City,9,51.851851851851855,47.435897435897445,60.49382716049382,41.56378600823045,39.09465020576131,48.09286898839137
400261,Region I,Dagupan City,7,51.851851851851855,46.7032967032967,66.66666666666667,44.97354497354497,30.158730158730155,48.08102345415779
412511,Region I,Dagupan City,4,48.148148148148145,35.57692307692308,50.92592592592592,32.407407407407405,37.96296296296296,41.04477611940298
102149,Region I,Dagupan City,6,64.19753086419753,31.41025641025641,46.2962962962963,33.333333333333336,59.25925925925926,47.014925373134325
102181,Region I,Dagupan City,4,54.629629629629626,25.0,40.74074074074074,32.407407407407405,39.81481481481482,38.61940298507463
400263,Region I,Dagupan City,4,55.55555555555556,73.07692307692308,80.55555555555556,57.407407407407405,53.7037037037037,63.992537313432834
102158,Region I,Dagupan City,2,90.74074074074076,75.0,77.77777777777777,66.66666666666667,79.62962962962963,77.98507462686567
102166,Region I,Dagupan City,12,67.5925925925926,41.98717948717948,54.32098765432098,47.8395061728395,49.691358024691354,52.36318407960199
400264,Region I,Dagupan City,1,77.77777777777777,65.38461538461539,85.18518518518519,70.37037037037037,59.25925925925926,71.64179104477611
102176,Region I,Dagupan City,4,71.29629629629629,72.11538461538461,72.22222222222223,66.66666666666667,72.22222222222223,70.8955223880597
102150,Region I,Dagupan City,28,71.95767195767195,74.58791208791209,62.69841269841269,66.26984126984127,73.54497354497354,69.77611940298507
400254,Region I,Dagupan City,8,52.31481481481482,43.75,61.111111111111114,50.46296296296296,48.611111111111114,51.30597014925373
102151,Region I,Dagupan City,24,84.10493827160492,77.08333333333334,63.117283950617285,66.51234567901234,65.58641975308642,71.23756218905471
102169,Region I,Dagupan City,6,66.66666666666667,48.717948717948715,60.49382716049382,53.086419753086425,56.172839506172835,57.08955223880597
102159,Region I,Dagupan City,12,76.54320987654322,54.48717948717948,59.5679012345679,67.5925925925926,87.96296296296296,69.34079601990051
400267,Region I,Dagupan City,8,54.629629629629626,56.73076923076923,70.83333333333333,47.68518518518518,52.77777777777778,56.52985074626866
102170,Region I,Dagupan City,34,61.764705882352935,71.49321266968326,77.01525054466231,71.13289760348584,68.08278867102396,69.88586479367866
412514,Region I,Dagupan City,8,58.7962962962963,61.53846153846154,75.46296296296296,55.092592592592595,50.92592592592592,60.3544776119403
412509,Region I,Dagupan City,4,63.888888888888886,78.84615384615384,78.70370370370371,69.44444444444444,63.888888888888886,70.8955223880597
412501,Region I,Dagupan City,12,43.20987654320987,35.256410256410255,42.28395061728394,37.96296296296296,37.96296296296296,39.365671641791046
400269,Region I,Dagupan City,4,56.48148148148148,71.15384615384616,73.14814814814815,59.25925925925926,57.407407407407405,63.43283582089552
102177,Region I,Dagupan City,20,62.96296296296296,69.23076923076923,60.74074074074073,62.40740740740742,71.85185185185185,65.41044776119404
102156,Region I,Dagupan City,4,80.55555555555556,90.3846153846154,76.85185185185185,62.96296296296296,49.07407407407408,71.82835820895522
102160,Region I,Dagupan City,14,57.142857142857146,67.58241758241759,73.28042328042328,73.8095238095238,66.93121693121694,67.75053304904051
500055,Region I,Dagupan City,20,72.4074074074074,79.03846153846153,83.88888888888889,80.55555555555556,68.14814814814814,76.7910447761194
102171,Region I,Dagupan City,26,61.68091168091168,35.35502958579882,51.99430199430199,38.60398860398861,49.28774928774929,47.47416762342135
102179,Region I,Dagupan City,12,79.93827160493827,51.92307692307692,69.13580246913581,64.50617283950618,68.20987654320987,66.85323383084577
102172,Region I,Dagupan City,8,53.7037037037037,46.15384615384615,59.72222222222222,35.648148148148145,73.14814814814815,53.73134328358209
400270,Region I,Dagupan City,10,46.2962962962963,39.230769230769226,54.07407407407408,37.77777777777777,41.111111111111114,43.73134328358209
400271,Region I,Dagupan City,14,59.52380952380953,39.285714285714285,60.31746031746031,47.08994708994709,52.116402116402114,51.759061833688705
400253,Region I,Dagupan City,8,53.24074074074074,45.67307692307692,66.20370370370371,47.22222222222222,44.907407407407405,51.492537313432834
400272,Region I,Dagupan City,7,55.55555555555556,53.84615384615385,67.19576719576719,50.264550264550266,48.67724867724868,55.117270788912585
102180,Region I,Dagupan City,4,80.55555555555556,84.61538461538461,70.37037037037037,70.37037037037037,78.70370370370371,76.86567164179104
102173,Region I,Dagupan City,10,57.77777777777778,37.69230769230769,44.44444444444444,52.592592592592595,53.333333333333336,49.25373134328358
102161,Region I,Dagupan City,6,54.32098765432098,42.94871794871794,61.111111111111114,44.44444444444444,51.851851851851855,50.99502487562189
152501,Region I,Dagupan City,4,75.0,61.53846153846154,75.0,59.25925925925926,65.74074074074075,67.35074626865672
400265,Region I,Dagupan City,6,48.76543209876542,36.53846153846154,61.111111111111114,39.50617283950617,40.74074074074074,45.39800995024876
102167,Region I,Dagupan City,16,59.49074074074074,41.58653846153846,46.2962962962963,38.19444444444444,49.53703703703704,47.0615671641791
102152,Region I,Dagupan City,60,57.407407407407405,36.34615384615384,46.2962962962963,39.93827160493827,44.382716049382715,44.93781094527363
102153,Region I,Dagupan City,18,51.851851851851855,28.63247863247863,32.510288065843625,27.16049382716049,34.97942386831276,35.07462686567164
400274,Region I,Dagupan City,4,65.74074074074075,60.57692307692308,75.92592592592592,57.407407407407405,75.0,66.9776119402985
100001,Region I,Ilocos Norte,6,66.66666666666667,61.53846153846154,54.93827160493828,37.65432098765432,33.333333333333336,50.74626865671642
100024,Region I,Ilocos Norte,4,77.77777777777777,65.38461538461539,74.07407407407408,67.5925925925926,67.5925925925926,70.5223880597015
150001,Region I,Ilocos Norte,4,73.14814814814815,82.6923076923077,91.66666666666669,63.888888888888886,78.70370370370371,77.98507462686567
100002,Region I,Ilocos Norte,10,55.92592592592592,35.0,55.55555555555556,36.2962962962963,47.03703703703704,46.04477611940298
100128,Region I,Ilocos Norte,14,83.33333333333333,72.52747252747253,74.86772486772487,76.1904761904762,92.06349206349206,79.85074626865672
100025,Region I,Ilocos Norte,4,72.22222222222223,61.53846153846154,82.4074074074074,80.55555555555556,84.25925925925925,76.30597014925372
100026,Region I,Ilocos Norte,16,84.49074074074075,84.61538461538461,87.5,73.37962962962963,84.25925925925925,82.83582089552239
150013,Region I,Ilocos Norte,12,83.0246913580247,85.25641025641026,79.62962962962963,57.09876543209876,85.18518518518519,77.98507462686567
100058,Region I,Ilocos Norte,6,62.96296296296296,67.94871794871796,79.01234567901234,67.28395061728395,62.34567901234568,67.91044776119404
100013,Region I,Ilocos Norte,6,82.09876543209877,75.0,85.18518518518519,74.69135802469135,82.09876543209877,79.85074626865672
100059,Region I,Ilocos Norte,10,74.07407407407408,62.30769230769231,77.4074074074074,61.851851851851855,75.92592592592592,70.3731343283582
100060,Region I,Ilocos Norte,10,75.92592592592592,64.99999999999999,78.88888888888889,63.7037037037037,76.29629629629629,72.01492537313433
100118,Region I,Ilocos Norte,6,88.2716049382716,76.92307692307692,81.48148148148148,70.37037037037037,89.50617283950618,81.34328358208955
100119,Region I,Ilocos Norte,10,92.5925925925926,78.46153846153845,78.14814814814815,74.07407407407408,72.5925925925926,79.17910447761194
100110,Region I,Ilocos Norte,4,87.96296296296296,77.88461538461539,85.18518518518519,75.92592592592592,91.66666666666669,83.76865671641791
100261,Region I,Ilocos Norte,2,74.07407407407408,78.84615384615384,90.74074074074076,81.48148148148148,92.5925925925926,83.58208955223881
100061,Region I,Ilocos Norte,2,72.22222222222223,80.76923076923077,83.33333333333333,70.37037037037037,88.88888888888889,79.1044776119403
100062,Region I,Ilocos Norte,2,90.74074074074076,80.76923076923077,85.18518518518519,74.07407407407408,92.5925925925926,84.70149253731343
100003,Region I,Ilocos Norte,4,81.48148148148148,79.8076923076923,93.51851851851852,74.07407407407408,81.48148148148148,82.08955223880596
100014,Region I,Ilocos Norte,6,82.71604938271604,87.8205128205128,87.65432098765433,73.45679012345678,79.01234567901234,82.08955223880596
100262,Region I,Ilocos Norte,4,77.77777777777777,93.26923076923076,87.03703703703704,70.37037037037037,70.37037037037037,79.66417910447761
100016,Region I,Ilocos Norte,6,66.66666666666667,52.564102564102555,67.90123456790123,51.23456790123458,72.8395061728395,62.3134328358209
100063,Region I,Ilocos Norte,4,96.29629629629628,90.3846153846154,92.5925925925926,75.92592592592592,81.48148148148148,87.31343283582089
100017,Region I,Ilocos Norte,2,75.92592592592592,50.0,75.92592592592592,59.25925925925926,68.51851851851852,66.04477611940298
100027,Region I,Ilocos Norte,2,53.7037037037037,19.23076923076923,35.18518518518518,38.888888888888886,38.888888888888886,37.3134328358209
100129,Region I,Ilocos Norte,10,83.70370370370371,86.15384615384616,71.48148148148148,68.8888888888889,75.92592592592592,77.16417910447761
500000,Region I,Ilocos Norte,8,69.9074074074074,79.8076923076923,72.68518518518519,55.55555555555556,57.870370370370374,67.07089552238806
100220,Region I,Ilocos Norte,17,68.84531590413944,67.1945701357466,82.57080610021787,69.281045751634,72.76688453159042,72.16856892010536
100064,Region I,Ilocos Norte,2,88.88888888888889,61.53846153846154,83.33333333333333,75.92592592592592,64.81481481481481,75.0
100018,Region I,Ilocos Norte,11,58.58585858585858,54.54545454545455,57.23905723905724,43.0976430976431,61.27946127946129,54.952510176390774
100065,Region I,Ilocos Norte,4,71.29629629629629,65.38461538461539,71.29629629629629,71.29629629629629,84.25925925925925,72.76119402985074
100111,Region I,Ilocos Norte,4,67.5925925925926,70.1923076923077,66.66666666666667,56.48148148148148,70.37037037037037,66.23134328358209
